z,r,dr_dz,d2r_dz2,curvature
185.695258,249.124899,0.181291,-0.008474,0.008073
186.079720,249.193973,0.178044,-0.008414,0.008030
186.464182,249.261802,0.174821,-0.008354,0.007985
186.848644,249.328396,0.171621,-0.008292,0.007939
187.233107,249.393765,0.168444,-0.008230,0.007892
187.617569,249.457918,0.165293,-0.008166,0.007843
188.002031,249.520863,0.162165,-0.008102,0.007792
188.386493,249.582610,0.159063,-0.008036,0.007741
188.770955,249.643170,0.155986,-0.007970,0.007688
189.155418,249.702552,0.152935,-0.007903,0.007633
189.539880,249.760765,0.149909,-0.007834,0.007577
189.924342,249.817821,0.146911,-0.007765,0.007520
190.308804,249.873728,0.143939,-0.007695,0.007462
190.693267,249.928499,0.140994,-0.007624,0.007402
191.077729,249.982142,0.138076,-0.007552,0.007342
191.462191,250.034669,0.135186,-0.007480,0.007279
191.846653,250.086090,0.132325,-0.007406,0.007216
192.231116,250.136416,0.129491,-0.007332,0.007152
192.615578,250.185659,0.126687,-0.007257,0.007086
193.000040,250.233829,0.123911,-0.007182,0.007019
193.384502,250.280937,0.121165,-0.007105,0.006952
193.768964,250.326995,0.118448,-0.007028,0.006883
194.153427,250.372015,0.115761,-0.006950,0.006813
194.537889,250.416006,0.113103,-0.006872,0.006742
194.922351,250.458983,0.110477,-0.006793,0.006670
195.306813,250.500955,0.107881,-0.006713,0.006597
195.691276,250.541935,0.105315,-0.006632,0.006524
196.075738,250.581934,0.102781,-0.006551,0.006449
196.460200,250.620965,0.100277,-0.006470,0.006374
196.844662,250.659040,0.097806,-0.006388,0.006297
197.229125,250.696170,0.095366,-0.006305,0.006220
197.613587,250.732369,0.092957,-0.006222,0.006143
197.998049,250.767648,0.090581,-0.006139,0.006064
198.382511,250.802019,0.088237,-0.006055,0.005985
198.766973,250.835495,0.085925,-0.005971,0.005905
199.151436,250.868089,0.083646,-0.005886,0.005825
199.535898,250.899813,0.081399,-0.005801,0.005744
199.920360,250.930679,0.079186,-0.005716,0.005662
200.304822,250.960700,0.077005,-0.005630,0.005580
200.689285,250.989890,0.074857,-0.005544,0.005498
201.073747,251.018260,0.072742,-0.005458,0.005415
201.458209,251.045823,0.070660,-0.005371,0.005331
201.842671,251.072592,0.068612,-0.005285,0.005248
202.227134,251.098580,0.066596,-0.005198,0.005164
202.611596,251.123799,0.064615,-0.005111,0.005079
202.996058,251.148264,0.062666,-0.005024,0.004995
203.380520,251.171985,0.060752,-0.004937,0.004910
203.764982,251.194977,0.058870,-0.004850,0.004825
204.149445,251.217252,0.057023,-0.004763,0.004739
